Event,Type,Begin Date,End Date,CPI-Adjusted Cost
Southern/Eastern/Northwestern Drought and Heat Wave2024,Drought,01-Jan-24,31-Dec-24,5.4
Hurricane MiltonOctober 2024,Tropical Cyclone,09-Oct-24,10-Oct-24,34.3
Hurricane HeleneSeptember 2024,Tropical Cyclone,24-Sep-24,29-Sep-24,78.7
Hurricane FrancineSeptember 2024,Tropical Cyclone,11-Sep-24,12-Sep-24,1.3
Hurricane DebbyAugust 2024,Tropical Cyclone,05-Aug-24,09-Aug-24,2.5
Central and Eastern Tornado Outbreak and Severe WeatherJuly 2024,Severe Storm,13-Jul-24,16-Jul-24,2.4
Hurricane BerylJuly 2024,Tropical Cyclone,08-Jul-24,08-Jul-24,7.2
New Mexico WildfiresJune 2024,Wildfire,17-Jun-24,07-Jul-24,1.8
Central and Northeast Severe WeatherJune 2024,Severe Storm,24-Jun-24,26-Jun-24,1.7
Upper Midwest FloodingJune 2024,Flooding,16-Jun-24,23-Jun-24,1.1
Central and Eastern Severe WeatherJune 2024,Severe Storm,12-Jun-24,14-Jun-24,1.2
Colorado Hail Storms and Southern Severe WeatherMay 2024,Severe Storm,31-May-24,01-Jun-24,3
Texas Hail StormsMay 2024,Severe Storm,27-May-24,28-May-24,2.3
Central Tornado OutbreakMay 2024,Severe Storm,25-May-24,26-May-24,3.5
"Central, Southern, Eastern Severe WeatherMay 2024",Severe Storm,18-May-24,22-May-24,4.9
Southern DerechoMay 2024,Severe Storm,16-May-24,17-May-24,1.6
Southern Severe WeatherMay 2024,Severe Storm,11-May-24,13-May-24,1.1
"Central, Southern, Southeastern Tornado OutbreakMay 2024",Severe Storm,06-May-24,09-May-24,6.6
Central and Southern Tornado OutbreakApril 2024,Severe Storm,26-Apr-24,28-Apr-24,1.7
Southern and Eastern Severe WeatherApril 2024,Severe Storm,08-Apr-24,11-Apr-24,2.7
Central Tornado Outbreak and Eastern Severe WeatherApril 2024,Severe Storm,01-Apr-24,03-Apr-24,2.5
Central and Southern Severe WeatherMarch 2024,Severe Storm,12-Mar-24,14-Mar-24,6.2
Central and Eastern Severe WeatherFebruary 2024,Severe Storm,27-Feb-24,28-Feb-24,1.5
Southern Severe WeatherFebruary 2024,Severe Storm,10-Feb-24,12-Feb-24,1.1
"Central, Southern, Northeastern Winter Storm and Cold WaveJanuary 2024",Winter Storm,14-Jan-24,18-Jan-24,1.9
Northwest Winter StormJanuary 2024,Winter Storm,12-Jan-24,14-Jan-24,1.7
Southern Tornado Outbreak and East Coast StormJanuary 2024,Severe Storm,08-Jan-24,10-Jan-24,2.8
East Coast Storm and FloodingDecember 2023,Flooding,16-Dec-23,18-Dec-23,1.3
Southern/Midwestern Drought and HeatwaveSpring-Fall 2023,Drought,01-Apr-23,30-Sep-23,14.8
Southern Hail StormsSeptember 2023,Severe Storm,23-Sep-23,24-Sep-23,1.7
Hurricane IdaliaAugust 2023,Tropical Cyclone,29-Aug-23,31-Aug-23,3.6
Minnesota Hail StormsAugust 2023,Severe Storm,11-Aug-23,11-Aug-23,1.8
Hawaii FirestormAugust 2023,Wildfire,08-Aug-23,08-Aug-23,5.7
Northeastern and Eastern Severe WeatherAugust 2023,Severe Storm,05-Aug-23,08-Aug-23,1.7
North Central and Eastern Severe WeatherJuly 2023,Severe Storm,28-Jul-23,29-Jul-23,1.5
North Central and Southeastern Severe WeatherJuly 2023,Severe Storm,19-Jul-23,21-Jul-23,1.9
Northeastern Flooding and North Central Severe WeatherJuly 2023,Flooding,09-Jul-23,15-Jul-23,2.2
Central Severe WeatherJune 2023,Severe Storm,28-Jun-23,02-Jul-23,2
Rockies Hail Storms and Central and Eastern Severe WeatherJune 2023,Severe Storm,21-Jun-23,26-Jun-23,5.5
Central and Southern Severe WeatherJune 2023,Severe Storm,15-Jun-23,18-Jun-23,3.9
Southern Severe WeatherJune 2023,Severe Storm,11-Jun-23,14-Jun-23,4.2
Typhoon MawarMay 2023,Tropical Cyclone,24-May-23,25-May-23,4.4
Texas Hail StormsMay 2023,Severe Storm,18-May-23,19-May-23,1.7
Central and Eastern Tornadoes and Hail StormsMay 2023,Severe Storm,10-May-23,12-May-23,3.6
Central Severe WeatherMay 2023,Severe Storm,06-May-23,08-May-23,2.2
