year,cnn,fox
2000/01/01,68,1
2000/02/01,12,1
2000/03/01,17,3
2000/04/01,37,4
2000/05/01,24,0
2000/06/01,40,0
2000/07/01,10,3
2000/08/01,30,3
2000/09/01,6,5
2000/10/01,48,7
2000/11/01,14,4
2000/12/01,19,3
2001/01/01,17,5
2001/02/01,5,4
2001/03/01,42,21
2001/04/01,42,17
2001/05/01,33,20
2001/06/01,91,38
2001/07/01,59,14
2001/08/01,12,7
2001/09/01,18,12
2001/10/01,6,0
2001/11/01,1,0
2001/12/01,3,1
2002/01/01,9,1
2002/02/01,29,5
2002/03/01,12,1
2002/04/01,13,4
2002/05/01,10,4
2002/06/01,16,13
2002/07/01,11,7
2002/08/01,14,3
2002/09/01,7,2
2002/10/01,4,0
2002/11/01,6,6
2002/12/01,11,3
2003/01/01,12,3
2003/02/01,34,3
2003/03/01,4,4
2003/04/01,2,2
2003/05/01,6,1
2003/06/01,14,5
2003/07/01,7,5
2003/08/01,5,3
2003/09/01,7,5
2003/10/01,9,2
2003/11/01,8,3
2003/12/01,9,4
2004/01/01,17,7
2004/02/01,9,0
2004/03/01,9,4
2004/04/01,3,3
2004/05/01,38,4
2004/06/01,6,1
2004/07/01,14,2
2004/08/01,10,0
2004/09/01,7,5
2004/10/01,8,4
2004/11/01,17,2
2004/12/01,16,3
2005/01/01,6,5
2005/02/01,31,5
2005/03/01,25,3
2005/04/01,8,0
2005/05/01,15,2
2005/06/01,34,15
2005/07/01,66,13
2005/08/01,15,12
2005/09/01,42,15
2005/10/01,21,9
2005/11/01,16,6
2005/12/01,21,6
2006/01/01,20,6
2006/02/01,23,6
2006/03/01,20,5
2006/04/01,30,6
2006/05/01,47,30
2006/06/01,77,18
2006/07/01,34,4
2006/08/01,13,8
2006/09/01,50,16
2006/10/01,23,9
2006/11/01,30,17
2006/12/01,32,19
2007/01/01,116,33
2007/02/01,78,68
2007/03/01,87,74
2007/04/01,104,55
2007/05/01,108,29
2007/06/01,114,39
2007/07/01,125,50
2007/08/01,43,30
2007/09/01,81,29
2007/10/01,138,44
2007/11/01,106,34
2007/12/01,99,33
2008/01/01,97,23
2008/02/01,82,23
2008/03/01,101,19
2008/04/01,97,36
2008/05/01,114,45
2008/06/01,133,52
2008/07/01,110,41
2008/08/01,92,23
2008/09/01,75,16
2008/10/01,50,18
2008/11/01,105,16
2008/12/01,73,22
2009/01/01,56,41
2009/02/01,99,41
2009/03/01,85,47
2009/04/01,91,39
2009/05/01,57,39
2009/06/01,49,35
2009/07/01,85,62
2009/08/01,34,24
2009/09/01,62,44
2009/10/01,89,67
2009/11/01,130,48
2009/12/01,218,107
2010/01/01,53,46
2010/02/01,25,57
2010/03/01,38,28
2010/04/01,50,43
2010/05/01,38,25
2010/06/01,33,31
2010/07/01,34,13
2010/08/01,28,12
2010/09/01,18,20
2010/10/01,23,12
2010/11/01,28,12
2010/12/01,17,25
2011/01/01,19,9
2011/02/01,4,2
2011/03/01,23,4
2011/04/01,16,22
2011/05/01,15,13
2011/06/01,36,25
2011/07/01,11,13
2011/08/01,28,33
2011/09/01,49,16
2011/10/01,27,19
2011/11/01,28,32
2011/12/01,70,38
2012/01/01,30,15
2012/02/01,19,19
2012/03/01,18,14
2012/04/01,17,12
2012/05/01,15,10
2012/06/01,13,8
2012/07/01,22,10
2012/08/01,14,10
2012/09/01,15,5
2012/10/01,26,13
2012/11/01,44,15
2012/12/01,38,10
2013/01/01,82,50
2013/02/01,52,26
2013/03/01,24,17
2013/04/01,13,7
2013/05/01,11,9
2013/06/01,33,19
2013/07/01,6,11
2013/08/01,35,10
2013/09/01,45,10
2013/10/01,17,13
2013/11/01,42,17
2013/12/01,73,17
2014/01/01,34,49
2014/02/01,48,43
2014/03/01,23,29
2014/04/01,12,32
2014/05/01,61,54
2014/06/01,35,29
2014/07/01,16,10
2014/08/01,8,16
2014/09/01,38,28
2014/10/01,8,12
2014/11/01,65,29
2014/12/01,35,22
2015/01/01,27,26
2015/02/01,15,36
2015/03/01,26,20
2015/04/01,40,25
2015/05/01,39,29
2015/06/01,61,44
2015/07/01,52,17
2015/08/01,83,19
2015/09/01,213,43
2015/10/01,90,27
2015/11/01,103,47
2015/12/01,111,59
2016/01/01,59,21
2016/02/01,92,18
2016/03/01,65,19
2016/04/01,137,22
2016/05/01,87,19
2016/06/01,59,18
2016/07/01,54,21
2016/08/01,21,16
2016/09/01,84,20
2016/10/01,105,26
2016/11/01,126,31
2016/12/01,177,35
2017/01/01,114,35
2017/02/01,54,15
2017/03/01,87,18
2017/04/01,86,22
2017/05/01,128,27
2017/06/01,150,30
2017/07/01,146,24
2017/08/01,77,33
2017/09/01,67,17
2017/10/01,45,13
2017/11/01,22,15
2017/12/01,83,28
2018/01/01,55,19
2018/02/01,18,10
2018/03/01,26,16
2018/04/01,48,15
2018/05/01,44,16
2018/06/01,63,16
2018/07/01,61,17
2018/08/01,55,24
2018/09/01,33,10
2018/10/01,84,13
2018/11/01,181,32
2018/12/01,93,43
2019/01/01,121,46
2019/02/01,192,86
2019/03/01,147,76
2019/04/01,99,59
2019/05/01,157,48
2019/06/01,224,61
2019/07/01,114,47
2019/08/01,215,56
2019/09/01,163,76
2019/10/01,85,34
2019/11/01,124,19
2019/12/01,132,8
2020/01/01,109,45
2020/02/01,116,44
2020/03/01,65,32
2020/04/01,43,14
2020/05/01,19,20
2020/06/01,14,5
2020/07/01,31,15
2020/08/01,54,24
2020/09/01,159,35
2020/10/01,81,35
2020/11/01,113,49
2020/12/01,56,26
2021/01/01,136,47
2021/02/01,90,70
2021/03/01,102,39
2021/04/01,133,67
2021/05/01,70,47
2021/06/01,220,87
2021/07/01,188,68
2021/08/01,146,58
2021/09/01,323,73
2021/10/01,344,80
2021/11/01,262,82
2021/12/01,132,37
2022/01/01,58,47
2022/02/01,51,58
2022/03/01,21,67
2022/04/01,55,50
2022/05/01,89,48
2022/06/01,118,59
2022/07/01,242,104
2022/08/01,265,73
2022/09/01,189,91
2022/10/01,100,70
2022/11/01,154,74
2022/12/01,72,40
2023/01/01,84,50
2023/02/01,40,48
2023/03/01,99,69
2023/04/01,73,52
2023/05/01,61,34
2023/06/01,110,49
2023/07/01,181,50
2023/08/01,119,73
2023/09/01,146,46
2023/10/01,35,31
2023/11/01,52,51
2023/12/01,113,33
2024/01/01,46,33
2024/02/01,65,22
2024/03/01,77,45
2024/04/01,89,28
2024/05/01,109,33
2024/06/01,118,43
2024/07/01,74,17
2024/08/01,85,26
2024/09/01,77,23
2024/10/01,120,23
2024/11/01,164,25
2024/12/01,54,14
