year,positive,negative
1990/01/01,0,13
1990/02/01,0,10
1990/03/01,0,7
1990/04/01,0,4
1990/05/01,0,8
1990/06/01,0,11
1990/07/01,0,15
1990/08/01,0,12
1990/09/01,0,9
1990/10/01,0,6
1990/11/01,0,3
1990/12/01,0,7
1991/01/01,0,5
1991/02/01,0,4
1991/03/01,0,15
1991/04/01,0,12
1991/05/01,0,9
1991/06/01,0,6
1991/07/01,0,4
1991/08/01,0,8
1991/09/01,0,5
1991/10/01,0,10
1991/11/01,0,8
1991/12/01,0,6
1992/01/01,0,4
1992/02/01,0,2
1992/03/01,0,7
1992/04/01,0,11
1992/05/01,0,9
1992/06/01,12,13
1992/07/01,11,10
1992/08/01,10,15
1992/09/01,9,17
1992/10/01,8,13
1992/11/01,7,16
1992/12/01,6,18
1993/01/01,5,14
1993/02/01,4,10
1993/03/01,3,12
1993/04/01,2,8
1993/05/01,1,5
1993/06/01,0,16
1993/07/01,0,19
1993/08/01,0,15
1993/09/01,0,17
1993/10/01,0,13
1993/11/01,0,9
1993/12/01,0,5
1994/01/01,0,8
1994/02/01,0,12
1994/03/01,0,9
1994/04/01,0,13
1994/05/01,0,10
1994/06/01,0,13
1994/07/01,0,15
1994/08/01,0,11
1994/09/01,0,8
1994/10/01,0,11
1994/11/01,0,8
1994/12/01,0,5
1995/01/01,0,9
1995/02/01,0,7
1995/03/01,0,5
1995/04/01,0,9
1995/05/01,0,13
1995/06/01,0,10
1995/07/01,0,13
1995/08/01,0,16
1995/09/01,0,18
1995/10/01,0,19
1995/11/01,0,14
1995/12/01,0,10
1996/01/01,0,12
1996/02/01,0,14
1996/03/01,0,16
1996/04/01,0,12
1996/05/01,0,9
1996/06/01,0,6
1996/07/01,0,3
1996/08/01,0,1
1996/09/01,0,6
1996/10/01,0,11
1996/11/01,0,9
1996/12/01,0,7
1997/01/01,0,11
1997/02/01,0,20
1997/03/01,0,15
1997/04/01,0,11
1997/05/01,0,8
1997/06/01,0,5
1997/07/01,0,2
1997/08/01,0,0
1997/09/01,0,0
1997/10/01,0,0
1997/11/01,0,0
1997/12/01,12,6
1998/01/01,11,11
1998/02/01,10,9
1998/03/01,9,7
1998/04/01,8,5
1998/05/01,7,15
1998/06/01,6,23
1998/07/01,5,18
1998/08/01,4,26
1998/09/01,3,26
1998/10/01,2,25
1998/11/01,1,17
1998/12/01,0,17
1999/01/01,0,24
1999/02/01,0,17
1999/03/01,0,12
1999/04/01,0,8
1999/05/01,0,11
1999/06/01,0,13
1999/07/01,0,9
1999/08/01,0,7
1999/09/01,0,11
1999/10/01,0,8
1999/11/01,0,5
1999/12/01,0,3
2000/01/01,0,8
2000/02/01,0,6
2000/03/01,0,22
2000/04/01,0,18
2000/05/01,0,14
2000/06/01,0,10
2000/07/01,0,6
2000/08/01,0,3
2000/09/01,0,0
2000/10/01,0,6
2000/11/01,0,5
2000/12/01,0,4
2001/01/01,0,3
2001/02/01,0,2
2001/03/01,0,13
2001/04/01,0,23
2001/05/01,0,20
2001/06/01,0,23
2001/07/01,0,19
2001/08/01,0,15
2001/09/01,0,11
2001/10/01,0,7
2001/11/01,0,5
2001/12/01,0,3
2002/01/01,0,2
2002/02/01,0,1
2002/03/01,0,6
2002/04/01,0,11
2002/05/01,0,9
2002/06/01,0,7
2002/07/01,0,5
2002/08/01,0,9
2002/09/01,0,18
2002/10/01,0,14
2002/11/01,0,17
2002/12/01,0,13
2003/01/01,0,9
2003/02/01,0,5
2003/03/01,0,8
2003/04/01,0,12
2003/05/01,0,15
2003/06/01,0,12
2003/07/01,0,21
2003/08/01,0,16
2003/09/01,0,23
2003/10/01,0,17
2003/11/01,0,12
2003/12/01,0,8
2004/01/01,0,4
2004/02/01,0,2
2004/03/01,0,0
2004/04/01,0,0
2004/05/01,0,6
2004/06/01,0,11
2004/07/01,0,9
2004/08/01,0,14
2004/09/01,0,30
2004/10/01,0,24
2004/11/01,0,18
2004/12/01,0,13
2005/01/01,0,9
2005/02/01,0,5
2005/03/01,0,13
2005/04/01,0,10
2005/05/01,0,8
2005/06/01,0,6
2005/07/01,0,10
2005/08/01,0,19
2005/09/01,0,22
2005/10/01,0,26
2005/11/01,0,22
2005/12/01,0,18
2006/01/01,0,20
2006/02/01,0,16
2006/03/01,0,24
2006/04/01,0,30
2006/05/01,12,23
2006/06/01,11,23
2006/07/01,10,16
2006/08/01,9,16
2006/09/01,8,10
2006/10/01,7,12
2006/11/01,6,9
2006/12/01,5,6
2007/01/01,4,10
2007/02/01,3,7
2007/03/01,2,5
2007/04/01,1,15
2007/05/01,0,12
2007/06/01,0,21
2007/07/01,0,16
2007/08/01,0,12
2007/09/01,0,8
2007/10/01,0,4
2007/11/01,0,2
2007/12/01,0,0
2008/01/01,0,12
2008/02/01,0,16
2008/03/01,0,19
2008/04/01,0,27
2008/05/01,0,27
2008/06/01,0,26
2008/07/01,0,24
2008/08/01,0,23
2008/09/01,0,29
2008/10/01,0,21
2008/11/01,0,15
2008/12/01,0,10
2009/01/01,0,12
2009/02/01,12,14
2009/03/01,11,16
2009/04/01,10,18
2009/05/01,9,20
2009/06/01,20,27
2009/07/01,18,26
2009/08/01,16,19
2009/09/01,14,19
2009/10/01,12,13
2009/11/01,10,8
2009/12/01,20,4
2010/01/01,17,2
2010/02/01,14,7
2010/03/01,12,11
2010/04/01,10,15
2010/05/01,8,18
2010/06/01,6,20
2010/07/01,5,21
2010/08/01,4,15
2010/09/01,3,10
2010/10/01,2,12
2010/11/01,1,8
2010/12/01,0,5
2011/01/01,0,3
2011/02/01,0,8
2011/03/01,0,13
2011/04/01,0,58
2011/05/01,0,61
2011/06/01,0,62
2011/07/01,0,61
2011/08/01,0,59
2011/09/01,0,49
2011/10/01,0,38
2011/11/01,0,27
2011/12/01,0,18
2012/01/01,0,18
2012/02/01,0,12
2012/03/01,0,13
2012/04/01,0,27
2012/05/01,0,28
2012/06/01,0,40
2012/07/01,0,31
2012/08/01,0,28
2012/09/01,0,19
2012/10/01,0,20
2012/11/01,0,14
2012/12/01,0,9
2013/01/01,0,7
2013/02/01,0,11
2013/03/01,0,21
2013/04/01,0,29
2013/05/01,0,35
2013/06/01,0,27
2013/07/01,0,19
2013/08/01,0,18
2013/09/01,0,17
2013/10/01,0,11
2013/11/01,0,13
2013/12/01,0,10
2014/01/01,0,19
