B^*,dem_positive,dem_negative,rep_positive,rep_negative
-1,0.511896,0.544544,0.4644776,0.480643
-0.9,0.52630676,0.55983704,0.458080256,0.47406208
-0.8,0.54091744,0.57534176,0.451727264,0.46752652
-0.7,0.55572804,0.59105816,0.445418624,0.46103632
-0.6,0.57073856,0.60698624,0.439154336,0.45459148
-0.5,0.585949,0.623126,0.4329344,0.448192
-0.4,0.60135936,0.63947744,0.426758816,0.44183788
-0.3,0.61696964,0.65604056,0.420627584,0.43552912
-0.2,0.63277984,0.67281536,0.414540704,0.42926572
-0.1,0.64878996,0.68980184,0.408498176,0.42304768
0,0.665,0.707,0.4025,0.416875
0.1,0.68140996,0.72440984,0.396546176,0.41074768
0.2,0.69801984,0.74203136,0.390636704,0.40466572
0.3,0.71482964,0.75986456,0.384771584,0.39862912
0.4,0.73183936,0.77790944,0.378950816,0.39263788
0.5,0.749049,0.796166,0.3731744,0.386692
0.6,0.76645856,0.81463424,0.367442336,0.38079148
0.7,0.78406804,0.83331416,0.361754624,0.37493632
0.8,0.80187744,0.85220576,0.356111264,0.36912652
0.9,0.81988676,0.87130904,0.350512256,0.36336208
1,0.838096,0.890624,0.3449576,0.357643
1.1,0.85650516,0.91015064,0.339447296,0.35196928
1.2,0.87511424,0.92988896,0.333981344,0.34634092
