x,pc,edu_level,edu_div
-0.2,NA,NA,NA
-0.15,NA,NA,NA
-0.1,61.9555,NA,NA
-0.05,60.9745,NA,NA
0,59.9935,NA,NA
0.05,59.0125,NA,NA
0.1,58.0315,NA,NA
0.15,57.0505,NA,NA
0.2,56.0695,NA,NA
0.25,NA,NA,NA
0.3,NA,51.2923,NA
0.35,NA,53.0923,NA
0.4,NA,54.8923,NA
0.45,NA,56.6923,NA
0.5,NA,58.4923,NA
0.55,NA,60.2923,NA
0.6,NA,62.0923,NA
0.65,NA,63.8923,NA
0.7,NA,65.6923,NA
0.75,NA,NA,NA
0.8,NA,NA,NA
0.85,NA,NA,NA
0.9,NA,NA,NA
0.95,NA,NA,NA
1,NA,NA,46.8243
1.05,NA,NA,54.3193
1.1,NA,NA,61.8143
1.15,NA,NA,69.3093
1.2,NA,NA,76.8043
1.25,NA,NA,NA
1.3,NA,NA,NA
1.35,NA,NA,NA
1.4,NA,NA,NA
