x,news_imp,sp
-0.2,NA,NA
-0.15,NA,NA
-0.1,NA,NA
-0.05,NA,NA
0,NA,NA
0.05,NA,NA
0.1,58.6497,NA
0.15,58.7197,NA
0.2,58.7897,NA
0.25,58.8597,NA
0.3,58.9297,NA
0.35,58.9997,NA
0.4,59.0697,NA
0.45,59.1397,NA
0.5,59.2097,NA
0.55,59.2797,NA
0.6,59.3497,82.0377
0.65,59.4197,67.9277
0.7,59.4897,53.8177
0.75,59.5597,NA
0.8,59.6297,NA
0.85,59.6997,NA
0.9,59.7697,NA
0.95,59.8397,NA
1,59.9097,NA
1.05,59.9797,NA
1.1,60.0497,NA
1.15,60.1197,NA
1.2,60.1897,NA
1.25,60.2597,NA
1.3,60.3297,NA
1.35,60.3997,NA
1.4,60.4697,NA
1.45,60.5397,NA
1.5,60.6097,NA
1.55,60.6797,NA
1.6,60.7497,NA
1.65,60.8197,NA
1.7,60.8897,NA
1.75,NA,NA
1.8,NA,NA
