year,opinion_mon+1,constant,news_county_mean_ob_imp,news_county_num,racediv,agediv,edudiv,politicaldiv,voteturn,popden,medianinc,housemedianprice,unem,edulevel,pc
1990,57,1.99817794,0.129255008,1.29255008,0.41960972,1.864386742,1.143525364,1.599062168,88.88662147,2890.938509,11.49190956,14.06632917,11.14665548,37.33765804,0.146996337
1991,62,1.99817794,0.698186461,3.51444866,0.42484263,1.864288936,1.13066404,1.649710186,85.9929696,2916.901815,11.96901843,15.54151408,13.70578544,38.32932355,0.060871613
1997,50,1.99817794,0.19979875,1.9979875,0.4583768,1.866789931,1.088185464,1.62097174,72.4625376,3099.524152,13.28764635,23.30457342,10.42713874,44.20279591,-0.034186177
1999,68,1.99817794,0.684732816,3.71625334,0.461301445,1.8673608,1.076667581,1.571080446,73.42995777,3153.335804,13.33199064,25.43760768,9.362866383,46.74791643,0.016760025
2000,72,1.99817794,0.799271176,3.99635588,0.49346426,1.867391966,1.129051631,1.571080446,74.88692645,3195.248561,13.34352426,27.09368113,8.447640975,42.42999636,0.016760025
2001,63,1.99817794,0.149782656,1.49782656,0.509431159,1.867426242,1.101229754,1.569881835,76.66630979,3231.409318,13.34465285,28.81865232,9.162627941,45.8141406,0.098458768
2002,59,1.99817794,0.149782656,1.49782656,0.514727432,1.86774613,1.082678559,1.569881835,78.89779499,3266.576677,13.33446672,30.88608038,11.27312596,49.38851165,0.098458768
2003,58,1.99817794,0.13230406,1.3230406,0.522996119,1.868181377,1.088423595,1.538299663,81.18786369,3298.374594,13.31131543,33.06574575,12.31899738,49.71175385,0.153941737
2004,51,1.99817794,0.13230406,1.3230406,0.530499616,1.86852228,1.081657158,1.538299663,83.28532933,3327.429599,13.27411752,35.27572423,11.72465744,50.87662279,0.153941737
2006,62,1.99817794,1.161871485,3.41929638,0.547695443,1.869157292,1.076410684,1.538108021,86.07715879,3380.132771,13.15325587,39.45892367,9.882567908,51.05837292,0.140472932
2007,65,1.99817794,0.181584616,1.81584616,0.556113959,1.869575566,1.077529215,1.541939284,86.66033843,3404.914498,13.06742918,41.26829624,9.478247091,51.0079355,0.032067171
2008,66,1.99817794,0.678214765,3.8140241,0.563648802,1.870053768,1.080074916,1.541939284,86.68720797,3429.007135,12.96322994,42.7802851,10.64174724,51.07649939,0.032067171
2009,60,1.99817794,1.140798571,6.05976378,0.570876141,1.870459662,1.082377938,1.524188624,86.15751172,3452.82811,12.83957668,43.91296604,16.95612805,51.2790207,-0.030895304
2010,52,1.99817794,1.447935833,4.06158584,0.577324879,1.870876657,1.082768427,1.524188624,85.22878904,3477.484807,12.69538791,44.58441487,20.1526195,51.63045553,-0.030895304
2011,51,1.99817794,0.143288548,1.43288548,0.583164452,1.871229046,1.079909954,1.45857669,84.15778648,3500.980879,12.52937157,44.71826868,18.99624978,52.13241353,0.136275835
2012,55,1.99817794,1.198906764,1.99817794,0.588780907,1.87171121,1.076288605,1.45857669,83.20156086,3522.805597,12.33548622,44.45933949,17.25149592,52.6129037,0.136275835
2013,58,1.99817794,0.99908897,1.99817794,0.594407466,1.872254851,1.073931412,1.483887069,82.6134408,3543.611101,12.1514934,44.12577125,15.85882275,53.15343761,0.026414705
2014,56,1.99817794,0.677157108,3.82988896,0.600205612,1.872742988,1.072333929,1.483887069,82.59095411,3563.388056,12.0416218,44.06386433,13.70874405,53.876565,0.026414705
2015,55,1.99817794,0.695561187,3.55382778,0.606036195,1.873188126,1.070687088,1.428996097,83.29655282,3581.710031,12.05359185,44.47102448,11.56957042,54.68561958,0.111330715
2016,64,1.99817794,1.204268328,5.55200572,0.61198434,1.873570035,1.069521562,1.428996097,84.89257969,3598.407955,12.18175419,45.45037084,10.57040837,55.5926155,0.111330715
2017,66,1.99817794,0.715857929,2.83231041,0.61794976,1.87406723,1.068645952,1.373022901,87.50700548,3613.362027,12.38801206,47.05960132,9.53066952,56.63787626,0.119975597
2018,63,1.99817794,1.269247026,5.66462082,0.623783611,1.874586559,1.067108958,1.373022901,90.75323072,3626.513201,12.62727486,49.28179956,8.673376579,57.70776364,0.119975597
2019,65,1.99817794,1.238037553,4.96047791,0.628737186,1.875155515,1.06605845,1.403000445,93.92115355,3638.454913,12.90589477,52.07377788,6.983358339,58.74592466,0.018875787
2020,65,1.99817794,0.702858973,2.96229997,0.637570061,1.874999627,1.063422661,1.403000445,96.29966117,3650.963172,13.181338,55.49195725,13.88120421,60.099243,0.018875787
2021,65,1.99817794,1.386894736,4.95411633,0.645256962,1.875110204,1.061609061,1.396661258,97.22272182,3661.881195,13.36972394,59.43018169,13.32291927,61.44663396,0.036270119
2022,65,1.99817794,0.951200948,2.95593839,0.652750455,1.875568916,1.06167299,1.396661258,96.69915143,3672.092947,13.46664336,64.46040841,8.134191982,62.64972216,0.036270119
2023,61,1.99817794,1.115866116,2.82858442,0.661740749,1.8759741,1.062477162,1.401000173,95.16201379,3683.717797,13.5184172,69.63568065,7.418909538,63.93992529,0.108883019
2024,62,1.99817794,0.332162592,2.49121944,0.670795576,1.876363067,1.063614389,1.401000173,93.04569726,3696.635748,13.56074765,74.53908712,8.069681998,65.28815669,0.108883019
